"title","author","img","description","buy"
"TIME FOR SCHOOL, LITTLE BLUE TRUCK","by Alice Schertle. Illustrated by Jill McElmurry","https://storage.googleapis.com/du-prd/books/images/9780358412243.jpg","Blue gives a friend a ride to school. (Ages 4 to 7)","https://bookshop.org/a/3546/9780358412243"
"A GOOD GIRL'S GUIDE TO MURDER","by Holly Jackson","https://storage.googleapis.com/du-prd/books/images/9780593379851.jpg","Pippa Fitz-Amobi solves murderous crimes. (Ages 14 and up)","https://bookshop.org/a/3546/9781984896391"
"THE POWERLESS TRILOGY","by Lauren Roberts","https://storage.googleapis.com/du-prd/books/images/9781665955430.jpg","A story of forbidden love between Paedyn, an Ordinary, and Kai, an Elite, in the kingdom of Ilya. (Ages 14 and up)","https://bookshop.org/a/3546/9781665954884"
"THE WILD ROBOT","by Peter Brown","https://storage.googleapis.com/du-prd/books/images/9780316669412.jpg","Roz the robot adapts to her surroundings on a remote, wild island. (Ages 7 to 12)","https://bookshop.org/a/3546/9780316382007"
"COVENANT","by Jennifer L. Armentrout","https://storage.googleapis.com/du-prd/books/images/9781464220685.jpg","Alexandria and Aiden's forbidden love is challenged at every turn. (Ages 14 to 18)","https://bookshop.org/a/3546/9781464220685"
"HARRY POTTER","by J.K. Rowling","https://storage.googleapis.com/du-prd/books/images/9780590353427.jpg","A wizard hones his conjuring skills in the service of fighting evil. (Ages 10 and up)","https://bookshop.org/a/3546/9781338878929"
"THE GRANDEST GAME","by Jennifer Lynn Barnes","https://storage.googleapis.com/du-prd/books/images/9780316481014.jpg","A prize worth millions is up for grabs for seven players sequestered on a private island. (Ages 12 to 18)","https://bookshop.org/a/3546/9780316481014"
"THE REAPPEARANCE OF RACHEL PRICE","by Holly Jackson","https://storage.googleapis.com/du-prd/books/images/9780593374207.jpg","Annabel Price's mother was presumed dead, until she reappears during the filming of a documentary about her disappearance. (Ages 14 to 17)","https://bookshop.org/a/3546/9780593374207"
"SUCH CHARMING LIARS","by Karen M. McManus","https://storage.googleapis.com/du-prd/books/images/9780593485057.jpg","Two former stepsiblings unwillingly reunite and must solve a murder at a billionaire's birthday party. (Ages 14 to 17)","https://bookshop.org/a/3546/9780593485057"
"DEATH AT MORNING HOUSE","by Maureen Johnson","https://storage.googleapis.com/du-prd/books/images/9780063255951.jpg","When Marlowe Wexler takes a job at Morning House, deadly mysteries unfold. (Ages 14 and up)","https://bookshop.org/a/3546/9780063255951"
"DIVINE RIVALS","by Rebecca Ross","https://storage.googleapis.com/du-prd/books/images/9781250857439.jpg","Two young rival journalists find love through a magical connection. (Ages 13 to 18)","https://bookshop.org/a/3546/9781250857439"
